name,category,model_type,status,epoch,val_acc,val_loss,params,config
glue_mrpc_finetune_v1,GLUE,perceiver_io,Completed,1,68.38235294117648,,0,"{'dataset': 'glue_mrpc', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_mrpc_finetune_v1', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/last_checkpoint.pth', 'device': 'cuda', 'num_workers': 4, 'batch_size': 32}"
glue_qnli_finetune,GLUE,perceiver_io,Completed,17,59.93044114955153,,0,"{'dataset': 'glue_qnli', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_qnli_finetune', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/last_checkpoint.pth', 'device': 'cuda', 'num_workers': 4, 'batch_size': 32}"
glue_qqp_finetune,GLUE,perceiver_io,Completed,24,75.65421716547118,,0,"{'dataset': 'glue_qqp', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_qqp_finetune', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/last_checkpoint.pth', 'device': 'cuda', 'num_workers': 4, 'batch_size': 32}"
glue_rte_finetune,GLUE,perceiver_io,Completed,4,52.707581227436826,,0,"{'dataset': 'glue_rte', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_rte_finetune', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/last_checkpoint.pth', 'device': 'cuda', 'num_workers': 4, 'batch_size': 32}"
glue_sst2_finetune_v4,GLUE,perceiver_io,Completed,13,61.23853211009175,,0,"{'dataset': 'glue_sst2', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 5, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.0, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_sst2_finetune_v4', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/best_model.pt', 'device': 'cuda', 'num_workers': 2, 'batch_size': 32}"
glue_stsb_finetune_v1,GLUE,perceiver_io,Completed,4,-227.99532337188722,,0,"{'dataset': 'glue_stsb', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_stsb_finetune_v1', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/last_checkpoint.pth', 'device': 'cuda', 'num_workers': 4, 'batch_size': 32}"
mlm_wikitext103_optimized_batch32,MLM,perceiver_io,Completed,49,82.20142159300319,,0,"{'dataset': 'wikitext103', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 1024, 'model_task': 'mlm', 'mlm_vocab_size': 256, 'text_seq_len': 1024, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.001, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 50, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'mlm_wikitext103_optimized_batch32', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': None, 'device': 'cuda', 'num_workers': 2, 'batch_size': 32}"
mlm_wikitext2,MLM,perceiver_io,Completed,3,19.540660857972668,,0,"{'dataset': 'wikitext2', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 4, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2048, 'model_task': 'mlm', 'mlm_vocab_size': 256, 'text_seq_len': 2048, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': 'archive.zip', 'optimizer': 'lamb', 'lr': 0.001, 'batch_size_cifar10': 8, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'mlm_wikitext2', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 0, 'batch_size': 8}"
modelnet40_baseline_paper,ModelNet40,perceiver,Completed,74,84.23824959481362,,0,"{'dataset': 'modelnet40', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 6, 'num_cross_attend_stages': 2, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': True, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.001, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 128, 'epochs': 200, 'scheduler': 'none', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'modelnet40_baseline_paper', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 128}"
modelnet40_with_rotation_paper,ModelNet40,perceiver,Completed,45,83.14424635332253,,0,"{'dataset': 'modelnet40', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 6, 'num_cross_attend_stages': 2, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': True, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.001, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 128, 'epochs': 200, 'scheduler': 'none', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'modelnet40_with_rotation_paper', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 128}"
modelnet40_with_translation_paper,ModelNet40,perceiver,Completed,62,83.6709886547812,,0,"{'dataset': 'modelnet40', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 6, 'num_cross_attend_stages': 2, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': True, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.001, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 128, 'epochs': 200, 'scheduler': 'none', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'modelnet40_with_translation_paper', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 128}"
